epoch,metric,value,language
1,success_rate,79,bulgarian
2,success_rate,79,bulgarian
3,success_rate,80,bulgarian
4,success_rate,78,bulgarian
5,success_rate,78,bulgarian
6,success_rate,79,bulgarian
7,success_rate,79,bulgarian
8,success_rate,79,bulgarian
9,success_rate,79,bulgarian
10,success_rate,78,bulgarian
11,success_rate,79,bulgarian
12,success_rate,79,bulgarian
13,success_rate,79,bulgarian
14,success_rate,78,bulgarian
15,success_rate,78,bulgarian
16,success_rate,79,bulgarian
17,success_rate,80,bulgarian
18,success_rate,79,bulgarian
19,success_rate,79,bulgarian
20,success_rate,79,bulgarian
21,success_rate,79,bulgarian
22,success_rate,78,bulgarian
23,success_rate,79,bulgarian
24,success_rate,79,bulgarian
25,success_rate,78,bulgarian
26,success_rate,79,bulgarian
27,success_rate,79,bulgarian
28,success_rate,78,bulgarian
29,success_rate,79,bulgarian
30,success_rate,79,bulgarian
31,success_rate,79,bulgarian
32,success_rate,78,bulgarian
33,success_rate,78,bulgarian
34,success_rate,79,bulgarian
35,success_rate,79,bulgarian
36,success_rate,78,bulgarian
37,success_rate,79,bulgarian
38,success_rate,79,bulgarian
39,success_rate,79,bulgarian
40,success_rate,79,bulgarian
41,success_rate,79,bulgarian
42,success_rate,79,bulgarian
43,success_rate,79,bulgarian
44,success_rate,79,bulgarian
45,success_rate,78,bulgarian
46,success_rate,79,bulgarian
47,success_rate,79,bulgarian
48,success_rate,79,bulgarian
49,success_rate,79,bulgarian
50,success_rate,78,bulgarian
51,success_rate,78,bulgarian
52,success_rate,78,bulgarian
53,success_rate,79,bulgarian
54,success_rate,77,bulgarian
55,success_rate,78,bulgarian
56,success_rate,78,bulgarian
57,success_rate,79,bulgarian
58,success_rate,78,bulgarian
59,success_rate,79,bulgarian
60,success_rate,80,bulgarian
